-4.000000000000000000e+00,-4.000000000000000000e+00,9.000000000000000000e+01
-3.845510528487135371e+00,-3.633702055081336812e+00,6.713197497651729861e+01
-3.523549248171742754e+00,-2.870324757146251571e+00,6.713197497651729861e+01
-3.201587967856350136e+00,-2.106947459211165885e+00,6.713197497651729861e+01
-2.854553668312683534e+00,-1.599179031387882866e+00,5.564934858774363136e+01
-2.620811978115689556e+00,-1.257176380052981157e+00,5.564934858774363136e+01
-2.153328597721702042e+00,-5.731710773831778516e-01,5.564934858774363136e+01
-1.685845217327714307e+00,1.108342252866254540e-01,5.564934858774363136e+01
-1.218361836933726572e+00,7.948395279564287597e-01,5.564934858774363136e+01
-7.771915296086924219e-01,1.223360637458197342e+00,4.416672219896996410e+01
-4.800454162865269159e-01,1.511987002494000087e+00,4.416672219896996410e+01
-1.828993029643614099e-01,1.800613367529802833e+00,4.416672219896996410e+01
